Front (English),Back (Hebrew),Transliteration,Other forms,Mnemonic,Example (Hebrew),Example (translit),Example (English),Category,Day
Fly,זְבוּב,Zvuv,pl. Zvuvim זְבוּבִים,ZVOOV — it literally buzzes: zvoov-zvoov.,הַזְּבוּב מְעַצְבֵּן אוֹתִי.,Ha-zvuv me'atzben oti.,The fly is annoying me.,Nouns · Animals,8
Insect / bug,חֶרֶק,Cherek (slang: Juk),pl. Charakim חֲרָקִים,CHEH-rek — a bug that wrecks your picnic. Juk is the everyday slang word for a cockroach.,יֵשׁ הַרְבֵּה חֲרָקִים בַּגִּנָּה.,Yesh harbeh charakim ba-gina.,There are a lot of insects in the garden.,Nouns · Animals,8
Chick (baby bird),גּוֹזָל,Gozal,pl. Gozalim גּוֹזָלִים,go-ZAL — a fluffy chick that GOES ALL over the place. Israelis call a cute kid a gozal.,הַגּוֹזָל נוֹפֵל מֵהַקֵּן.,Ha-gozal nofel me-ha-ken.,The chick falls from the nest.,Nouns · Animals,8
Chicken / rooster (animal),תַּרְנְגוֹל / תַּרְנְגוֹלֶת,Tarnegol / Tarnegolet,pl. Tarnegolim / Tarnegolot תַּרְנְגוֹלִים / תַּרְנְגוֹלוֹת,"tar-ne-GOL — a rooster crowing a long ""tar-ne-GOOOL"" at dawn. The -et ending makes it the hen.",הַתַּרְנְגוֹל קוֹרֵא בַּבֹּקֶר.,Ha-tarnegol koreh ba-boker.,The rooster crows in the morning.,Nouns · Animals,8
Tomorrow,מָחָר,Machar,,"ma-CHAR — ""MY CAR is coming tomorrow."" Machrataim = the day after tomorrow.",מָחָר אֲנִי נִפְגֶּשֶׁת עִם הָרוֹפְאָה.,Machar ani nifgeshet im ha-rofa.,Tomorrow I'm meeting the doctor.,Connectors · Time,9
Yesterday,אֶתְמוֹל,Etmol,,"et-MOL — ""et"" (time) + a mumble. Shilshom = the day before yesterday.",אֶתְמוֹל הָיָה חַם מְאוֹד.,Etmol haya cham me'od.,Yesterday it was very hot.,Connectors · Time,9
Then / so,אָז,Az,,"AZ — two letters. Israelis open half their sentences with ""Az…"" the way English speakers say ""So…""",אָז מָה עָשִׂיתָ?,Az ma nasata?,So what did you do?,Connectors · Time,9
Still / yet,עֲדַיִן,Adayin,,"a-DA-yin — ""Are we there yet? A-DYIN' to know."" Od is the shorter, more casual alternative.",אֲנִי עֲדַיִן לוֹמֶדֶת עִבְרִית.,Ani adayin lomedet ivrit.,I'm still studying Hebrew.,Connectors · Time,9
Time(s) / occasion,פַּעַם / פְּעָמִים,Pa'am / Pe'amim,pl. Pe'amim פְּעָמִים,"PA-am — ""Pa'am"" alone means ""once, back in the day"". Kama pe'amim? = ""How many times?""",הָיִיתִי שָׁם שָׁלוֹשׁ פְּעָמִים.,Hayiti sham shalosh pe'amim.,I've been there three times.,Connectors · Time,9
Dove / pigeon,יוֹנָה,Yona,pl. Yonim יוֹנִים,"yo-NA — Jonah (Yonah) in the Bible is literally named ""dove"". Noah's dove was a yona too.",הַיּוֹנָה עוֹמֶדֶת עַל הַגַּג.,Ha-yona omedet al ha-gag.,The dove is standing on the roof.,Nouns · Animals,10
Duck,בַּרְוָז / בַּרְוָזָה,Barvaz / Barvaza,pl. Barvazim / Barvazot בַּרְוָזִים / בַּרְוָזוֹת,bar-VAZ — a duck waddling into a BAR with a VASE. Silly enough to stick.,הַבַּרְוָזִים שׂוֹחִים בָּאֲגַם.,Ha-barvazim sochim ba-agam.,The ducks swim in the lake.,Nouns · Animals,10
Eagle / vulture,נֶשֶׁר,Nesher,pl. Nesharim נְשָׁרִים,NEH-sher — a NASHER that snatches its prey. Israel's rescue helicopters and a whole town are named Nesher.,הַנֶּשֶׁר עָף גָּבוֹהַּ בַּשָּׁמַיִם.,Ha-nesher af gavoha ba-shamayim.,The eagle flies high in the sky.,Nouns · Animals,10
Owl,יַנְשׁוּף,Yanshuf,pl. Yanshufim יַנְשׁוּפִים,"yan-SHOOF — an owl going ""shoof… shoof…"" in the night. (Handily, shuf is Arabic slang for ""look"" — the owl is all eyes.)",הַיַּנְשׁוּף עֵר כָּל הַלַּיְלָה.,Ha-yanshuf er kol ha-laila.,The owl is awake all night.,Nouns · Animals,10
Pet,חַיַּת מַחְמָד,Chayat machmad,pl. Chayot machmad חַיּוֹת מַחְמָד,"chai-YAT mach-MAD — chaya = animal, machmad = darling/delight. A ""darling animal"".",יֵשׁ לָכֶם חַיַּת מַחְמָד בַּבַּיִת?,Yesh lachem chayat machmad ba-bayit?,Do you have a pet at home?,Nouns · Animals,10
Tail,זָנָב,Zanav,pl. Zenavot זְנָבוֹת,"za-NAV — the tail NAVigates the animal. Also: a zanav is the ""tail end"" of a line.",לַכֶּלֶב יֵשׁ זָנָב אָרוֹךְ.,La-kelev yesh zanav aroch.,The dog has a long tail.,Nouns · Animals,10
To run,רָץ / רָצָה,Ratz / Ratza,inf. La-rutz לָרוּץ,RATS — rats run. Careful: ratz (runs) vs. rotze (wants) — one vowel apart.,הַיֶּלֶד רָץ מַהֵר מְאוֹד.,Ha-yeled ratz maher me'od.,The boy runs very fast.,Verbs · Motion,11
To jump,קוֹפֵץ / קוֹפֶצֶת,Kofetz / Kofetzet,inf. Lik-potz לִקְפּוֹץ,KOH-fets — a jumping COFFEE POT rattling on the stove.,הַקּוֹף קוֹפֵץ עַל הָעֵץ.,Ha-kof kofetz al ha-etz.,The monkey jumps on the tree.,Verbs · Motion,11
To swim,שׂוֹחֶה / שׂוֹחָה,Soche / Socha,inf. Lis-chot לִשְׂחוֹת,"SO-cheh — you swim so you don't SOAK and sink. Sounds a bit like ""so-chill"" — floating.",אֲנִי שׂוֹחָה בָּאֲגַם כָּל בֹּקֶר.,Ani socha ba-agam kol boker.,I swim in the lake every morning.,Verbs · Motion,11
To dance,רוֹקֵד / רוֹקֶדֶת,Roked / Rokedet,inf. Lir-kod לִרְקוֹד,"ROH-ked — dancing to ROCK music, in a CODE of steps. Hebrew hora dancing = rikud.",הֵם רוֹקְדִים בַּחֲתוּנָה כָּל הַלַּיְלָה.,Hem rokdim ba-chatuna kol ha-laila.,They dance at the wedding all night.,Verbs · Motion,11
To move,זָז / זָזָה,Zaz / Zaza,inf. La-zuz לָזוּז,"ZAZ — buzz-buzz, something that won't sit still. ""Zuz!"" is what Israelis shout for ""Move it!""","אַל תָּזוּז, אֲנִי מְצַלֵּם!","Al tazuz, ani metzalem!","Don't move, I'm taking a picture!",Verbs · Motion,11
Head,רֹאשׁ,Rosh,pl. Rashim רָאשִׁים,"ROSH — Rosh Hashanah = ""head of the year"". Rosh is also a boss or a chief.",כּוֹאֵב לִי הָרֹאשׁ.,Ko'ev li ha-rosh.,My head hurts.,Nouns · Body,12
Hair,שֵׂעָר,Se-ar,,"seh-AR — think of a SHEAR, the tool for cutting hair. Usually used as a collective, no plural.",יֵשׁ לָהּ שֵׂעָר אָרוֹךְ וְשָׁחוֹר.,Yesh la se'ar aroch ve-shachor.,She has long black hair.,Nouns · Body,12
Eye,עַיִן,Ayin,pl. Enayim עֵינַיִם,"AH-yin — think of the ""evil eye"" charm, the ayin hara. Body parts that come in twos take the -ayim ending.",יֵשׁ לוֹ עֵינַיִם יְרֻקּוֹת.,Yesh lo enayim yerukot.,He has green eyes.,Nouns · Body,12
Ear,אֹזֶן,Ozen,pl. Oznayim אָזְנַיִם,"OH-zen — hamantaschen are called oznei Haman, ""Haman's ears"". Note the -ayim pair ending again.",הָאָזְנַיִם שֶׁלִּי כּוֹאֲבוֹת בַּמָּטוֹס.,Ha-oznayim sheli ko'avot ba-matos.,My ears hurt on the plane.,Nouns · Body,12
Nose,אַף,Af,pl. Apayim אַפַּיִם,"AF — one syllable, like a sniff. Af also means ""not even / none at all"": af echad = nobody.",הָאַף שֶׁלִּי סָתוּם.,Ha-af sheli satum.,My nose is blocked.,Nouns · Body,12
Old (things that don't grow),יָשָׁן / יְשָׁנָה,Yashan / Yeshana,pl. Yeshanim / Yeshanot יְשָׁנִים / יְשָׁנוֹת,"ya-SHAN — the same root as yashen (asleep). Old things have been sleeping a long time. Use for objects, never people.",הַמְּכוֹנִית הַיְּשָׁנָה עוֹד נוֹסַעַת.,Ha-mechonit ha-yeshana od nosaat.,The old car still runs.,Adjectives · Age,15
New / young (things),חָדָשׁ / חֲדָשָׁה,Chadash / Chadasha,pl. Chadashim / Chadashot חֲדָשִׁים / חֲדָשׁוֹת,"cha-DASH — the twin of chodesh (month): the new moon. Chadashot = the news, ""the new things"".",יֵשׁ לִי טֶלֶפוֹן חָדָשׁ.,Yesh li telefon chadash.,I have a new phone.,Adjectives · Age,15
"Old (people, aged)",זָקֵן / זְקֵנָה,Zaken / Zkena,pl. Zkenim / Zkenot זְקֵנִים / זְקֵנוֹת,"za-KEN — from zakan, ""beard"". The old man is the bearded one. Use for living things only.",הַכֶּלֶב הַזָּקֵן יָשֵׁן כָּל הַיּוֹם.,Ha-kelev ha-zaken yashen kol ha-yom.,The old dog sleeps all day.,Adjectives · Age,15
"Young (people, growing)",צָעִיר / צְעִירָה,Tza'ir / Tze'ira,pl. Tze'irim / Tze'irot צְעִירִים / צְעִירוֹת,"tsa-EER — a young person is EAGER. (Careful: tza'if = scarf, one letter apart.)",הִיא צְעִירָה מִדַּי לַתַּפְקִיד הַזֶּה.,Hi tze'ira mid'i la-tafkid ha-ze.,She's too young for this role.,Adjectives · Age,15
Ancient,עַתִּיק / עַתִּיקָה,Atik / Atika,pl. Atikim / Atikot עַתִּיקִים / עַתִּיקוֹת,"a-TEEK — an ANTIQUE. Same word, same root. Ha-Ir ha-Atika = the Old City of Jerusalem.",בִּקַּרְנוּ בָּעִיר הָעַתִּיקָה.,Bikarnu ba-ir ha-atika.,We visited the Old City.,Adjectives · Age,15
Mouth,פֶּה,Peh,pl. Piyot פִּיּוֹת,"PEH — the sound your mouth makes spitting something out: ""peh!"" Also the letter פ.","תִּפְתַּח אֶת הַפֶּה, בְּבַקָּשָׁה.","Tiftach et ha-peh, bevakasha.","Open your mouth, please.",Nouns · Body,16
Tooth,שֵׁן,Shen,pl. Shinayim שִׁנַּיִם,"SHEN — you SHINE your teeth. A dentist is a rofe shinayim, a ""teeth doctor"".",אֲנִי מְצַחְצֵחַ שִׁנַּיִם פַּעֲמַיִם בְּיוֹם.,Ani mtzachtzeach shinayim pa'amayim be-yom.,I brush my teeth twice a day.,Nouns · Body,16
Eyebrow,גַּבָּה,Gaba,pl. Gabot גַּבּוֹת,"ga-BA — from gav (back): the eyebrow is the ""back"" or ridge above the eye.",הִיא מְרִימָה גַּבָּה בְּהַפְתָּעָה.,Hi merima gaba be-hafta'a.,She raises an eyebrow in surprise.,Nouns · Body,16
Brain,מוֹחַ,Moach,pl. Mochot מוֹחוֹת,"MO-ach — ""MORE, ACH!"" — the organ that always wants more. Slang: yesh lo moach = ""he's smart"".",הַמּוֹחַ שֶׁל הָאָדָם מְסֻבָּךְ.,Ha-moach shel ha-adam mesubach.,The human brain is complicated.,Nouns · Body,16
Skin / leather,עוֹר,Or,,"OR — careful: or (עוֹר) = skin, but or (אוֹר) = light. Same sound, different first letter.",יֵשׁ לִי עוֹר רָגִישׁ לַשֶּׁמֶשׁ.,Yesh li or ragish la-shemesh.,I have skin that's sensitive to the sun.,Nouns · Body,16
To see,רוֹאֶה / רוֹאָה,Ro-eh / Ro-ah,inf. Lir-ot לִרְאוֹת,"ro-EH — a ROE deer that you SEE in the field. Lehitraot (""see you"") comes from this root.",אֲנִי רוֹאֶה אֶת הַיָּם מֵהַחַלּוֹן.,Ani ro'eh et ha-yam me-ha-chalon.,I see the sea from the window.,Verbs · Perception,17
To hear,שׁוֹמֵעַ / שׁוֹמַעַת,Shomea / Shomaat,inf. Lish-moa לִשְׁמוֹעַ,"sho-MEH-a — ""Shma Yisrael"" — HEAR, O Israel. Same root, ancient and everywhere.",אַתָּה שׁוֹמֵעַ אֶת הַמּוּזִיקָה?,Ata shomea et ha-musika?,Do you hear the music?,Verbs · Perception,17
To listen,מַקְשִׁיב / מַקְשִׁיבָה,Makshiv / Makshiva,inf. Le-hakshiv לְהַקְשִׁיב,"mak-SHEEV — to listen you have to make it ""SHHH"". Shomea = hear by accident; makshiv = listen on purpose.",הוּא לֹא מַקְשִׁיב לִי בִּכְלָל.,Hu lo makshiv li bichlal.,He doesn't listen to me at all.,Verbs · Perception,17
To look / to watch closely,מִסְתַּכֵּל / מִסְתַּכֶּלֶת,Mistakel / Mistakelet,inf. Le-histakel לְהִסְתַּכֵּל,"mis-ta-KEL — ""Miss, take a look!"" The mis-/mit- start marks a reflexive verb: you turn your own eyes.",הִיא מִסְתַּכֶּלֶת עַל הַתְּמוּנָה.,Hi mistakelet al ha-tmuna.,She's looking at the picture.,Verbs · Perception,17
To smell,מֵרִיחַ / מְרִיחָה,Meriach / Mericha,inf. Le-hariach לְהָרִיחַ,meh-REE-ach — the smell REACHES your nose. Reach = riach.,אֲנִי מֵרִיחַ לֶחֶם טָרִי.,Ani meriach lechem tari.,I smell fresh bread.,Verbs · Perception,17
Hand / arm,יָד,Yad,pl. Yadayim יָדַיִם,YAD — the hamsa charm is also called a yad. The Torah pointer is a yad too — a little hand.,תִּרְחַץ יָדַיִם לִפְנֵי הָאֲרוּחָה.,Tirchatz yadayim lifnei ha-arucha.,Wash your hands before the meal.,Nouns · Body,18
Finger,אֶצְבַּע,Etzba,pl. Etzbaot אֶצְבָּעוֹת,"ETS-ba — ""ETS-BAH!"" — the sound of poking someone with a finger.",חָתַכְתִּי אֶת הָאֶצְבַּע בַּמִּטְבָּח.,Chatachti et ha-etzba ba-mitbach.,I cut my finger in the kitchen.,Nouns · Body,18
Shoulder,כָּתֵף,Katef,pl. Ktefayim כְּתֵפַיִם,"ka-TEF — you carry a bag on your shoulder, so it's the ""CARRY-TEF"". K-t-f is the root for carrying on the shoulder.",הַכָּתֵף שֶׁלִּי כּוֹאֶבֶת מֵהַיַּלְקוּט.,Ha-katef sheli ko'evet me-ha-yalkut.,My shoulder hurts from the backpack.,Nouns · Body,18
Back,גַּב,Gav,pl. Gavim גַּבִּים,"GAV — think ""GIVE me a back rub"". Also the root of gaba (eyebrow) — a ridge.",כּוֹאֵב לִי הַגַּב מֵהַיְּשִׁיבָה.,Ko'ev li ha-gav mi-ha-yeshiva.,My back hurts from sitting.,Nouns · Body,18
Chest,חָזֶה,Chaze,pl. Chazot חָזוֹת,cha-ZEH — related to chazak (strong) in sound: a strong chest. Also the word for chicken breast on a menu.,"חֲזֵה עוֹף עִם יְרָקוֹת, בְּבַקָּשָׁה.","Chaze of im yerakot, bevakasha.","Chicken breast with vegetables, please.",Nouns · Body,18
Leg / foot,רֶגֶל,Regel,pl. Raglaim רַגְלַיִם,"REH-gel — you get around on a REGULAR pair of legs. Ba-regel = ""on foot""; kaduregel = soccer, ""foot-ball"".",אֲנִי הוֹלֵךְ לַחֲנוּת בָּרֶגֶל.,Ani holech la-chanut ba-regel.,I walk to the store on foot.,Nouns · Body,19
Foot (the sole),כַּף רֶגֶל,Kaf regel,pl. Kapot raglaim כַּפּוֹת רַגְלַיִם,"kaf = a scoop or palm. Your foot is literally ""the scoop of the leg"" — and kaf yad is the palm of your hand.",הַחוֹל חַם עַל כַּפּוֹת הָרַגְלַיִם.,Ha-chol cham al kapot ha-raglaim.,The sand is hot on the soles of my feet.,Nouns · Body,19
Toe,אֶצְבַּע רֶגֶל,Etzba regel,pl. Etzbaot raglaim אֶצְבְּעוֹת רַגְלַיִם,"Hebrew has no separate word for ""toe"" — it's just a ""finger of the leg"". Nice and logical.",נִפְגַּעְתִּי בְּאֶצְבַּע רֶגֶל בַּדֶּלֶת.,Nifga'ti ba-etzba regel ba-delet.,I hurt my toe on the door.,Nouns · Body,19
Knee,בֶּרֶךְ,Berech,pl. Birkayim בִּרְכַּיִם,BEH-rech — the same root as bracha (blessing): you bend the knee to bless. Baruch = blessed.,הַבִּרְכַּיִם שֶׁלִּי כּוֹאֲבוֹת אַחֲרֵי הָרִיצָה.,Ha-birkayim sheli ko'avot achrei ha-ritza.,My knees hurt after the run.,Nouns · Body,19
Heart,לֵב,Lev,pl. Levavot לְבָבוֹת,"LEV — LOVE with a V. Sim lev = ""pay attention"" (literally ""put heart"").",יֵשׁ לָהּ לֵב טוֹב.,Yesh la lev tov.,She has a good heart.,Nouns · Body,19
To speak / to talk,מְדַבֵּר / מְדַבֶּרֶת,Medaber / Medaberet,inf. Le-daber לְדַבֵּר,me-da-BER — you talk and talk and it's a lot of DEBRIS/blah-blah. Dibur = speech.,אַתְּ מְדַבֶּרֶת עִבְרִית?,At medaberet ivrit?,Do you speak Hebrew?,Verbs · Communication,22
To say (pt. 2),אוֹמֵר / אוֹמֶרֶת,Omer / Omeret,inf. Lo-mar לוֹמַר,"oh-MER — ""Oh, MORE?"" is what you say. This is the everyday ""say"".",מָה אַתְּ אוֹמֶרֶת? אֲנִי לֹא שׁוֹמֵעַ.,Ma at omeret? Ani lo shomea.,What are you saying? I can't hear.,Verbs · Communication,22
To say / to tell (pt. 1),מַגִּיד / מַגִּידָה,Magid / Magida,inf. Le-hagid לְהַגִּיד,"ma-GID — a maggid was a wandering preacher who went town to town telling stories. Mostly used in the infinitive: Tagid li… = ""Tell me…""",תַּגִּיד לִי אֶת הָאֱמֶת.,Tagid li et ha-emet.,Tell me the truth.,Verbs · Communication,22
To tell / to narrate,מְסַפֵּר / מְסַפֶּרֶת,Mesaper / Mesaperet,inf. Le-saper לְסַפֵּר,me-sa-PER — same root as sefer (book) and sipur (story). A story-teller is a sofer/sapar of tales.,סַבָּא מְסַפֵּר סִפּוּרִים לַנְּכָדִים.,Saba mesaper sipurim la-nechadim.,Grandpa tells stories to the grandchildren.,Verbs · Communication,22
To ask (a question),שׁוֹאֵל / שׁוֹאֶלֶת,Shoel / Shoelet,inf. Li-shol לִשְׁאֹל,"sho-EL — ""Show 'ell, what's the answer?"" She'ela = a question.",הַתַּלְמִיד שׁוֹאֵל שְׁאֵלָה טוֹבָה.,Ha-talmid shoel she'ela tova.,The student asks a good question.,Verbs · Communication,22
Happy,שָׂמֵחַ / שְׂמֵחָה,Sameach / Smecha,pl. Smechim / Smechot שְׂמֵחִים / שְׂמֵחוֹת,sa-ME-ach — every Hebrew holiday greeting uses it: Chag sameach! Simcha = a joyous occasion.,אֲנִי שְׂמֵחָה לִרְאוֹת אוֹתְךָ.,Ani smecha lir'ot otcha.,I'm happy to see you.,Adjectives · Emotions,23
Excited,מִתְרַגֵּשׁ / מִתְרַגֶּשֶׁת,Mitragesh / Mitrageshet,pl. Mitragshim / Mitragshot מִתְרַגְּשִׁים / מִתְרַגְּשׁוֹת,"mit-ra-GESH — from regesh (emotion), same as margish (feel). The mit- means it's happening inside you.",אֲנִי מִתְרַגֶּשֶׁת לִפְנֵי הַטִּיּוּל.,Ani mitrageshet lifnei ha-tiyul.,I'm excited before the trip.,Adjectives · Emotions,23
